Timestamp;ContainerName;CPU_Percent;Memory_Usage_and_Limit
2025-12-01 01:36:07;nssf;0.00%;7.863MiB / 15.61GiB
2025-12-01 01:36:07;udm;0.00%;8.996MiB / 15.61GiB
2025-12-01 01:36:07;pcf;0.00%;9.613MiB / 15.61GiB
2025-12-01 01:36:07;ausf;0.00%;14.96MiB / 15.61GiB
2025-12-01 01:36:07;udr;0.00%;9.254MiB / 15.61GiB
2025-12-01 01:36:07;webui;1.01%;66.43MiB / 15.61GiB
2025-12-01 01:36:07;nef;0.00%;7.125MiB / 15.61GiB
2025-12-01 01:36:07;nrf;1.83%;14MiB / 15.61GiB
2025-12-01 01:36:07;upf;95.82%;784.7MiB / 15.61GiB
2025-12-01 01:36:07;mongodb;0.53%;168.1MiB / 15.61GiB
2025-12-01 01:36:14;amf;0.00%;14.88MiB / 15.61GiB
2025-12-01 01:36:14;chf;130.00%;39.3MiB / 15.61GiB
2025-12-01 01:36:14;ue;0.09%;1016KiB / 15.61GiB
2025-12-01 01:36:14;n3iwue;0.00%;3.984MiB / 15.61GiB
2025-12-01 01:36:14;ueransim;93.89%;297.9MiB / 15.61GiB
2025-12-01 01:36:14;n3iwf;0.00%;14.83MiB / 15.61GiB
2025-12-01 01:36:14;smf;44.93%;6.396GiB / 15.61GiB
2025-12-01 01:36:14;nssf;0.00%;7.863MiB / 15.61GiB
2025-12-01 01:36:14;udm;0.00%;8.996MiB / 15.61GiB
2025-12-01 01:36:14;pcf;0.00%;9.613MiB / 15.61GiB
2025-12-01 01:36:14;ausf;0.00%;14.96MiB / 15.61GiB
2025-12-01 01:36:14;udr;0.02%;9.254MiB / 15.61GiB
2025-12-01 01:36:14;webui;1.32%;66.43MiB / 15.61GiB
2025-12-01 01:36:14;nef;0.00%;7.125MiB / 15.61GiB
2025-12-01 01:36:14;nrf;2.11%;13.71MiB / 15.61GiB
2025-12-01 01:36:14;upf;97.67%;979.6MiB / 15.61GiB
2025-12-01 01:36:14;mongodb;0.60%;168.1MiB / 15.61GiB
2025-12-01 01:36:21;amf;0.01%;14.88MiB / 15.61GiB
2025-12-01 01:36:21;chf;127.05%;45.86MiB / 15.61GiB
2025-12-01 01:36:21;ue;0.06%;1016KiB / 15.61GiB
2025-12-01 01:36:21;n3iwue;0.00%;3.984MiB / 15.61GiB
2025-12-01 01:36:21;ueransim;80.53%;298.2MiB / 15.61GiB
2025-12-01 01:36:21;n3iwf;0.00%;14.83MiB / 15.61GiB
2025-12-01 01:36:21;smf;33.56%;6.859GiB / 15.61GiB
2025-12-01 01:36:21;nssf;0.00%;7.863MiB / 15.61GiB
2025-12-01 01:36:21;udm;0.00%;8.996MiB / 15.61GiB
2025-12-01 01:36:21;pcf;0.00%;9.609MiB / 15.61GiB
2025-12-01 01:36:21;ausf;0.00%;14.96MiB / 15.61GiB
2025-12-01 01:36:21;udr;0.00%;9.25MiB / 15.61GiB
2025-12-01 01:36:21;webui;1.46%;66.45MiB / 15.61GiB
2025-12-01 01:36:21;nef;0.00%;7.125MiB / 15.61GiB
2025-12-01 01:36:21;nrf;2.03%;13.71MiB / 15.61GiB
2025-12-01 01:36:21;upf;88.11%;1.183GiB / 15.61GiB
2025-12-01 01:36:21;mongodb;0.45%;168.1MiB / 15.61GiB
2025-12-01 01:36:28;amf;0.00%;14.88MiB / 15.61GiB
2025-12-01 01:36:28;chf;117.40%;41.84MiB / 15.61GiB
2025-12-01 01:36:28;ue;0.09%;1016KiB / 15.61GiB
2025-12-01 01:36:28;n3iwue;0.00%;3.984MiB / 15.61GiB
2025-12-01 01:36:28;ueransim;75.08%;479MiB / 15.61GiB
2025-12-01 01:36:28;n3iwf;0.00%;14.83MiB / 15.61GiB
2025-12-01 01:36:28;smf;40.12%;7.337GiB / 15.61GiB
2025-12-01 01:36:28;nssf;0.00%;7.863MiB / 15.61GiB
2025-12-01 01:36:28;udm;0.00%;8.996MiB / 15.61GiB
2025-12-01 01:36:28;pcf;0.00%;9.609MiB / 15.61GiB
2025-12-01 01:36:28;ausf;0.00%;14.96MiB / 15.61GiB
2025-12-01 01:36:28;udr;0.00%;9.254MiB / 15.61GiB
2025-12-01 01:36:28;webui;1.17%;66.99MiB / 15.61GiB
2025-12-01 01:36:28;nef;0.00%;7.125MiB / 15.61GiB
2025-12-01 01:36:28;nrf;2.68%;13.71MiB / 15.61GiB
2025-12-01 01:36:28;upf;83.68%;1.468GiB / 15.61GiB
2025-12-01 01:36:28;mongodb;0.57%;168.1MiB / 15.61GiB
2025-12-01 01:36:35;amf;0.06%;14.88MiB / 15.61GiB
2025-12-01 01:36:35;chf;115.12%;41.87MiB / 15.61GiB
2025-12-01 01:36:35;ue;0.10%;1016KiB / 15.61GiB
2025-12-01 01:36:35;n3iwue;0.00%;3.984MiB / 15.61GiB
2025-12-01 01:36:35;ueransim;86.46%;583.4MiB / 15.61GiB
2025-12-01 01:36:35;n3iwf;0.00%;14.83MiB / 15.61GiB
2025-12-01 01:36:35;smf;38.70%;7.854GiB / 15.61GiB
2025-12-01 01:36:35;nssf;0.00%;7.863MiB / 15.61GiB
2025-12-01 01:36:35;udm;0.00%;8.996MiB / 15.61GiB
2025-12-01 01:36:35;pcf;0.00%;9.613MiB / 15.61GiB
2025-12-01 01:36:35;ausf;0.00%;14.96MiB / 15.61GiB
2025-12-01 01:36:35;udr;0.00%;9.254MiB / 15.61GiB
2025-12-01 01:36:35;webui;1.22%;68.57MiB / 15.61GiB
2025-12-01 01:36:35;nef;0.00%;7.125MiB / 15.61GiB
2025-12-01 01:36:35;nrf;2.46%;13.71MiB / 15.61GiB
2025-12-01 01:36:35;upf;90.69%;1.658GiB / 15.61GiB
2025-12-01 01:36:35;mongodb;0.67%;168.1MiB / 15.61GiB
2025-12-01 01:36:42;amf;0.00%;14.88MiB / 15.61GiB
2025-12-01 01:36:42;chf;115.08%;36.84MiB / 15.61GiB
2025-12-01 01:36:42;ue;0.06%;1016KiB / 15.61GiB
2025-12-01 01:36:42;n3iwue;0.00%;3.984MiB / 15.61GiB
2025-12-01 01:36:42;ueransim;75.96%;583.4MiB / 15.61GiB
2025-12-01 01:36:42;n3iwf;0.00%;14.83MiB / 15.61GiB
2025-12-01 01:36:42;smf;38.40%;8.318GiB / 15.61GiB
2025-12-01 01:36:42;nssf;0.00%;7.863MiB / 15.61GiB
2025-12-01 01:36:42;udm;0.00%;8.996MiB / 15.61GiB
2025-12-01 01:36:42;pcf;0.07%;9.609MiB / 15.61GiB
2025-12-01 01:36:42;ausf;0.00%;14.96MiB / 15.61GiB
2025-12-01 01:36:42;udr;0.00%;9.25MiB / 15.61GiB
2025-12-01 01:36:42;webui;1.04%;68.73MiB / 15.61GiB
2025-12-01 01:36:42;nef;0.00%;7.125MiB / 15.61GiB
2025-12-01 01:36:42;nrf;1.84%;13.95MiB / 15.61GiB
2025-12-01 01:36:42;upf;85.22%;1.839GiB / 15.61GiB
2025-12-01 01:36:42;mongodb;0.96%;168.1MiB / 15.61GiB
2025-12-01 01:36:50;amf;0.01%;14.88MiB / 15.61GiB
2025-12-01 01:36:50;chf;120.05%;45.31MiB / 15.61GiB
2025-12-01 01:36:50;ue;0.08%;1016KiB / 15.61GiB
2025-12-01 01:36:50;n3iwue;0.00%;3.984MiB / 15.61GiB
2025-12-01 01:36:50;ueransim;70.58%;583.4MiB / 15.61GiB
2025-12-01 01:36:50;n3iwf;0.00%;14.83MiB / 15.61GiB
2025-12-01 01:36:50;smf;35.52%;8.812GiB / 15.61GiB
2025-12-01 01:36:50;nssf;0.00%;7.863MiB / 15.61GiB
2025-12-01 01:36:50;udm;0.00%;8.996MiB / 15.61GiB
2025-12-01 01:36:50;pcf;0.00%;9.609MiB / 15.61GiB
2025-12-01 01:36:50;ausf;0.00%;14.96MiB / 15.61GiB
2025-12-01 01:36:50;udr;0.00%;9.25MiB / 15.61GiB
2025-12-01 01:36:50;webui;1.30%;68.74MiB / 15.61GiB
2025-12-01 01:36:50;nef;0.00%;7.125MiB / 15.61GiB
2025-12-01 01:36:50;nrf;2.49%;13.86MiB / 15.61GiB
2025-12-01 01:36:50;upf;79.85%;2.132GiB / 15.61GiB
2025-12-01 01:36:50;mongodb;0.49%;168.1MiB / 15.61GiB
2025-12-01 01:36:57;amf;0.00%;14.88MiB / 15.61GiB
2025-12-01 01:36:57;chf;54.61%;39.89MiB / 15.61GiB
2025-12-01 01:36:57;ue;0.07%;1016KiB / 15.61GiB
2025-12-01 01:36:57;n3iwue;0.00%;3.984MiB / 15.61GiB
2025-12-01 01:36:57;ueransim;151.81%;707.7MiB / 15.61GiB
2025-12-01 01:36:57;n3iwf;0.00%;14.83MiB / 15.61GiB
2025-12-01 01:36:57;smf;310.23%;9.236GiB / 15.61GiB
2025-12-01 01:36:57;nssf;0.00%;7.863MiB / 15.61GiB
2025-12-01 01:36:57;udm;0.00%;8.996MiB / 15.61GiB
2025-12-01 01:36:57;pcf;0.00%;9.613MiB / 15.61GiB
2025-12-01 01:36:57;ausf;0.00%;14.96MiB / 15.61GiB
2025-12-01 01:36:57;udr;0.00%;9.254MiB / 15.61GiB
2025-12-01 01:36:57;webui;0.53%;68.73MiB / 15.61GiB
2025-12-01 01:36:57;nef;0.00%;7.125MiB / 15.61GiB
2025-12-01 01:36:57;nrf;1.00%;13.98MiB / 15.61GiB
2025-12-01 01:36:57;upf;66.69%;2.304GiB / 15.61GiB
2025-12-01 01:36:57;mongodb;0.39%;168.1MiB / 15.61GiB
2025-12-01 01:44:24;amf;3.77%;12.94MiB / 15.61GiB
2025-12-01 01:44:24;chf;0.00%;12.96MiB / 15.61GiB
2025-12-01 01:44:24;ue;0.09%;1MiB / 15.61GiB
2025-12-01 01:44:24;n3iwue;0.00%;3.98MiB / 15.61GiB
2025-12-01 01:44:24;ueransim;0.47%;3.754MiB / 15.61GiB
2025-12-01 01:44:24;n3iwf;0.00%;14.36MiB / 15.61GiB
2025-12-01 01:44:24;smf;0.00%;8.598MiB / 15.61GiB
2025-12-01 01:44:24;nssf;0.09%;7.875MiB / 15.61GiB
2025-12-01 01:44:24;udm;3.46%;9.941MiB / 15.61GiB
2025-12-01 01:44:24;pcf;1.60%;9.805MiB / 15.61GiB
2025-12-01 01:44:24;ausf;0.89%;15.29MiB / 15.61GiB
2025-12-01 01:44:24;udr;1.36%;9.285MiB / 15.61GiB
2025-12-01 01:44:24;webui;0.00%;12.57MiB / 15.61GiB
2025-12-01 01:44:24;nef;0.00%;7.707MiB / 15.61GiB
2025-12-01 01:44:24;nrf;19.58%;13.48MiB / 15.61GiB
2025-12-01 01:44:24;upf;0.00%;12.37MiB / 15.61GiB
2025-12-01 01:44:24;mongodb;2.31%;166.8MiB / 15.61GiB
2025-12-01 01:44:31;amf;0.08%;13.18MiB / 15.61GiB
2025-12-01 01:44:31;chf;0.00%;16.98MiB / 15.61GiB
2025-12-01 01:44:31;ue;0.10%;1MiB / 15.61GiB
2025-12-01 01:44:31;n3iwue;0.00%;3.98MiB / 15.61GiB
2025-12-01 01:44:31;ueransim;0.22%;7.051MiB / 15.61GiB
2025-12-01 01:44:31;n3iwf;0.00%;14.36MiB / 15.61GiB
2025-12-01 01:44:31;smf;0.00%;11.79MiB / 15.61GiB
2025-12-01 01:44:31;nssf;0.00%;8.371MiB / 15.61GiB
2025-12-01 01:44:31;udm;0.00%;10.28MiB / 15.61GiB
2025-12-01 01:44:31;pcf;0.00%;10.41MiB / 15.61GiB
2025-12-01 01:44:31;ausf;0.00%;15.31MiB / 15.61GiB
2025-12-01 01:44:31;udr;0.00%;10.44MiB / 15.61GiB
2025-12-01 01:44:31;webui;0.00%;12.75MiB / 15.61GiB
2025-12-01 01:44:31;nef;0.00%;7.707MiB / 15.61GiB
2025-12-01 01:44:31;nrf;0.00%;14.68MiB / 15.61GiB
2025-12-01 01:44:31;upf;0.00%;12.59MiB / 15.61GiB
2025-12-01 01:44:31;mongodb;0.22%;167MiB / 15.61GiB
2025-12-01 01:44:38;amf;0.04%;12.82MiB / 15.61GiB
2025-12-01 01:44:38;chf;84.66%;23.85MiB / 15.61GiB
2025-12-01 01:44:38;ue;0.09%;1MiB / 15.61GiB
2025-12-01 01:44:38;n3iwue;0.00%;3.98MiB / 15.61GiB
2025-12-01 01:44:38;ueransim;43.80%;9.035MiB / 15.61GiB
2025-12-01 01:44:38;n3iwf;0.00%;14.36MiB / 15.61GiB
2025-12-01 01:44:38;smf;45.97%;375.4MiB / 15.61GiB
2025-12-01 01:44:38;nssf;0.00%;8.371MiB / 15.61GiB
2025-12-01 01:44:38;udm;0.00%;10.28MiB / 15.61GiB
2025-12-01 01:44:38;pcf;0.00%;10.43MiB / 15.61GiB
2025-12-01 01:44:38;ausf;0.00%;15.31MiB / 15.61GiB
2025-12-01 01:44:38;udr;0.00%;10.44MiB / 15.61GiB
2025-12-01 01:44:38;webui;4.56%;16.86MiB / 15.61GiB
2025-12-01 01:44:38;nef;0.00%;7.707MiB / 15.61GiB
2025-12-01 01:44:38;nrf;23.19%;17.18MiB / 15.61GiB
2025-12-01 01:44:38;upf;104.08%;238.8MiB / 15.61GiB
2025-12-01 01:44:38;mongodb;2.74%;167MiB / 15.61GiB
2025-12-01 01:44:45;amf;0.02%;14.2MiB / 15.61GiB
2025-12-01 01:44:45;chf;85.07%;24.64MiB / 15.61GiB
2025-12-01 01:44:45;ue;0.06%;1MiB / 15.61GiB
2025-12-01 01:44:45;n3iwue;0.00%;3.98MiB / 15.61GiB
2025-12-01 01:44:45;ueransim;40.29%;9.113MiB / 15.61GiB
2025-12-01 01:44:45;n3iwf;0.00%;14.36MiB / 15.61GiB
2025-12-01 01:44:45;smf;88.98%;822.7MiB / 15.61GiB
2025-12-01 01:44:45;nssf;0.00%;8.371MiB / 15.61GiB
2025-12-01 01:44:45;udm;0.00%;10.28MiB / 15.61GiB
2025-12-01 01:44:45;pcf;0.09%;10.43MiB / 15.61GiB
2025-12-01 01:44:45;ausf;0.00%;15.31MiB / 15.61GiB
2025-12-01 01:44:45;udr;0.00%;10.44MiB / 15.61GiB
2025-12-01 01:44:45;webui;3.22%;17.71MiB / 15.61GiB
2025-12-01 01:44:45;nef;0.00%;7.707MiB / 15.61GiB
2025-12-01 01:44:45;nrf;17.97%;15.63MiB / 15.61GiB
2025-12-01 01:44:45;upf;84.93%;504.5MiB / 15.61GiB
2025-12-01 01:44:45;mongodb;2.03%;167MiB / 15.61GiB
2025-12-01 01:44:52;amf;0.64%;13.5MiB / 15.61GiB
2025-12-01 01:44:52;chf;87.09%;28.39MiB / 15.61GiB
2025-12-01 01:44:52;ue;0.07%;1MiB / 15.61GiB
2025-12-01 01:44:52;n3iwue;0.00%;3.98MiB / 15.61GiB
2025-12-01 01:44:52;ueransim;48.02%;9.031MiB / 15.61GiB
2025-12-01 01:44:52;n3iwf;0.00%;14.36MiB / 15.61GiB
2025-12-01 01:44:52;smf;44.55%;1.175GiB / 15.61GiB
2025-12-01 01:44:52;nssf;0.00%;8.371MiB / 15.61GiB
2025-12-01 01:44:52;udm;0.00%;10.28MiB / 15.61GiB
2025-12-01 01:44:52;pcf;0.00%;10.43MiB / 15.61GiB
2025-12-01 01:44:52;ausf;0.00%;15.31MiB / 15.61GiB
2025-12-01 01:44:52;udr;0.00%;10.44MiB / 15.61GiB
2025-12-01 01:44:52;webui;4.55%;17.79MiB / 15.61GiB
2025-12-01 01:44:52;nef;0.00%;7.707MiB / 15.61GiB
2025-12-01 01:44:52;nrf;22.39%;16.16MiB / 15.61GiB
2025-12-01 01:44:52;upf;156.01%;785.3MiB / 15.61GiB
2025-12-01 01:44:52;mongodb;2.47%;167MiB / 15.61GiB
2025-12-01 01:44:59;amf;0.05%;13.9MiB / 15.61GiB
2025-12-01 01:44:59;chf;94.78%;27.16MiB / 15.61GiB
2025-12-01 01:44:59;ue;0.05%;1MiB / 15.61GiB
2025-12-01 01:44:59;n3iwue;0.00%;3.98MiB / 15.61GiB
2025-12-01 01:44:59;ueransim;41.67%;9.117MiB / 15.61GiB
2025-12-01 01:44:59;n3iwf;0.00%;14.36MiB / 15.61GiB
2025-12-01 01:44:59;smf;43.62%;1.496GiB / 15.61GiB
2025-12-01 01:44:59;nssf;0.00%;8.371MiB / 15.61GiB
2025-12-01 01:44:59;udm;0.00%;10.28MiB / 15.61GiB
2025-12-01 01:44:59;pcf;0.00%;10.43MiB / 15.61GiB
2025-12-01 01:44:59;ausf;0.00%;15.31MiB / 15.61GiB
2025-12-01 01:44:59;udr;0.00%;10.44MiB / 15.61GiB
2025-12-01 01:44:59;webui;4.06%;17.79MiB / 15.61GiB
2025-12-01 01:44:59;nef;0.00%;7.707MiB / 15.61GiB
2025-12-01 01:44:59;nrf;17.93%;15.37MiB / 15.61GiB
2025-12-01 01:44:59;upf;82.98%;997.6MiB / 15.61GiB
2025-12-01 01:44:59;mongodb;1.98%;167MiB / 15.61GiB
2025-12-01 01:45:06;amf;0.08%;14.15MiB / 15.61GiB
2025-12-01 01:45:06;chf;90.03%;27.48MiB / 15.61GiB
2025-12-01 01:45:06;ue;0.06%;1MiB / 15.61GiB
2025-12-01 01:45:06;n3iwue;0.00%;3.98MiB / 15.61GiB
2025-12-01 01:45:06;ueransim;40.02%;9.285MiB / 15.61GiB
2025-12-01 01:45:06;n3iwf;0.00%;14.86MiB / 15.61GiB
2025-12-01 01:45:06;smf;191.05%;1.985GiB / 15.61GiB
2025-12-01 01:45:06;nssf;0.00%;8.371MiB / 15.61GiB
2025-12-01 01:45:06;udm;0.00%;10.28MiB / 15.61GiB
2025-12-01 01:45:06;pcf;0.00%;10.44MiB / 15.61GiB
2025-12-01 01:45:06;ausf;0.00%;15.31MiB / 15.61GiB
2025-12-01 01:45:06;udr;0.11%;10.45MiB / 15.61GiB
2025-12-01 01:45:06;webui;3.90%;18.61MiB / 15.61GiB
2025-12-01 01:45:06;nef;0.00%;7.707MiB / 15.61GiB
2025-12-01 01:45:06;nrf;10.70%;14.9MiB / 15.61GiB
2025-12-01 01:45:06;upf;85.38%;1.228GiB / 15.61GiB
2025-12-01 01:45:06;mongodb;1.56%;167MiB / 15.61GiB
2025-12-01 01:45:13;amf;0.05%;13.79MiB / 15.61GiB
2025-12-01 01:45:13;chf;101.83%;25.91MiB / 15.61GiB
2025-12-01 01:45:13;ue;0.06%;1MiB / 15.61GiB
2025-12-01 01:45:13;n3iwue;0.00%;3.98MiB / 15.61GiB
2025-12-01 01:45:13;ueransim;42.32%;9.172MiB / 15.61GiB
2025-12-01 01:45:13;n3iwf;0.00%;14.86MiB / 15.61GiB
2025-12-01 01:45:13;smf;37.27%;2.198GiB / 15.61GiB
2025-12-01 01:45:13;nssf;0.00%;8.371MiB / 15.61GiB
2025-12-01 01:45:13;udm;0.00%;10.28MiB / 15.61GiB
2025-12-01 01:45:13;pcf;0.00%;10.43MiB / 15.61GiB
2025-12-01 01:45:13;ausf;0.00%;15.31MiB / 15.61GiB
2025-12-01 01:45:13;udr;0.00%;10.45MiB / 15.61GiB
2025-12-01 01:45:13;webui;3.29%;18.12MiB / 15.61GiB
2025-12-01 01:45:13;nef;0.00%;7.707MiB / 15.61GiB
2025-12-01 01:45:13;nrf;12.15%;14.79MiB / 15.61GiB
2025-12-01 01:45:13;upf;251.99%;1.557GiB / 15.61GiB
2025-12-01 01:45:13;mongodb;1.61%;167MiB / 15.61GiB
2025-12-01 01:45:20;amf;0.01%;14.41MiB / 15.61GiB
2025-12-01 01:45:20;chf;117.65%;27.33MiB / 15.61GiB
2025-12-01 01:45:20;ue;0.09%;1MiB / 15.61GiB
2025-12-01 01:45:20;n3iwue;0.00%;3.98MiB / 15.61GiB
2025-12-01 01:45:20;ueransim;44.08%;9.191MiB / 15.61GiB
2025-12-01 01:45:20;n3iwf;0.00%;14.86MiB / 15.61GiB
2025-12-01 01:45:20;smf;51.57%;2.647GiB / 15.61GiB
2025-12-01 01:45:20;nssf;0.00%;8.371MiB / 15.61GiB
2025-12-01 01:45:20;udm;0.00%;10.28MiB / 15.61GiB
2025-12-01 01:45:20;pcf;0.00%;10.45MiB / 15.61GiB
2025-12-01 01:45:20;ausf;0.00%;15.31MiB / 15.61GiB
2025-12-01 01:45:20;udr;0.00%;10.45MiB / 15.61GiB
2025-12-01 01:45:20;webui;3.01%;18MiB / 15.61GiB
2025-12-01 01:45:20;nef;0.00%;8.18MiB / 15.61GiB
2025-12-01 01:45:20;nrf;11.53%;14.61MiB / 15.61GiB
2025-12-01 01:45:20;upf;97.86%;1.659GiB / 15.61GiB
2025-12-01 01:45:20;mongodb;1.47%;167MiB / 15.61GiB
2025-12-01 01:45:28;amf;0.08%;14.35MiB / 15.61GiB
2025-12-01 01:45:28;chf;92.22%;27.21MiB / 15.61GiB
2025-12-01 01:45:28;ue;0.10%;1MiB / 15.61GiB
