Timestamp;ContainerName;CPU_Percent;Memory_Usage_and_Limit
2025-12-10 01:38:39;nssf;0.00%;8.172MiB / 15.61GiB
2025-12-10 01:38:39;smf;42.18%;1024MiB / 15.61GiB
2025-12-10 01:38:39;webui;3.76%;20MiB / 15.61GiB
2025-12-10 01:38:39;amf;0.18%;15.52MiB / 15.61GiB
2025-12-10 01:38:39;ausf;0.00%;16.29MiB / 15.61GiB
2025-12-10 01:38:39;pcf;0.00%;12.05MiB / 15.61GiB
2025-12-10 01:38:39;nef;0.00%;7.441MiB / 15.61GiB
2025-12-10 01:38:39;nrf;16.85%;14.95MiB / 15.61GiB
2025-12-10 01:38:39;mongodb;1.66%;166.6MiB / 15.61GiB
2025-12-10 01:38:39;upf;84.25%;624MiB / 15.61GiB
2025-12-10 01:38:46;ue;0.08%;988KiB / 15.61GiB
2025-12-10 01:38:46;n3iwue;0.00%;384KiB / 15.61GiB
2025-12-10 01:38:46;ueransim;37.21%;10.4MiB / 15.61GiB
2025-12-10 01:38:46;n3iwf;0.00%;14.55MiB / 15.61GiB
2025-12-10 01:38:46;chf;95.99%;28.55MiB / 15.61GiB
2025-12-10 01:38:46;udr;0.00%;11.97MiB / 15.61GiB
2025-12-10 01:38:46;udm;0.00%;13.01MiB / 15.61GiB
2025-12-10 01:38:46;nssf;0.00%;8.172MiB / 15.61GiB
2025-12-10 01:38:46;smf;47.09%;1.442GiB / 15.61GiB
2025-12-10 01:38:46;webui;4.51%;20.08MiB / 15.61GiB
2025-12-10 01:38:46;amf;0.05%;15.48MiB / 15.61GiB
2025-12-10 01:38:46;ausf;0.00%;16.29MiB / 15.61GiB
2025-12-10 01:38:46;pcf;0.00%;12.05MiB / 15.61GiB
2025-12-10 01:38:46;nef;0.00%;7.441MiB / 15.61GiB
2025-12-10 01:38:46;nrf;17.51%;15.76MiB / 15.61GiB
2025-12-10 01:38:46;mongodb;1.68%;166.6MiB / 15.61GiB
2025-12-10 01:38:46;upf;92.00%;858.1MiB / 15.61GiB
2025-12-10 01:38:53;ue;0.07%;988KiB / 15.61GiB
2025-12-10 01:38:53;n3iwue;0.00%;384KiB / 15.61GiB
2025-12-10 01:38:53;ueransim;38.85%;10.5MiB / 15.61GiB
2025-12-10 01:38:53;n3iwf;0.00%;15MiB / 15.61GiB
2025-12-10 01:38:53;chf;103.09%;26.62MiB / 15.61GiB
2025-12-10 01:38:53;udr;0.00%;11.98MiB / 15.61GiB
2025-12-10 01:38:53;udm;0.00%;13.01MiB / 15.61GiB
2025-12-10 01:38:53;nssf;0.00%;8.172MiB / 15.61GiB
2025-12-10 01:38:53;smf;41.81%;1.684GiB / 15.61GiB
2025-12-10 01:38:53;webui;4.18%;20.08MiB / 15.61GiB
2025-12-10 01:38:53;amf;0.22%;15.86MiB / 15.61GiB
2025-12-10 01:38:53;ausf;0.00%;16.29MiB / 15.61GiB
2025-12-10 01:38:53;pcf;0.00%;12.05MiB / 15.61GiB
2025-12-10 01:38:53;nef;0.00%;7.441MiB / 15.61GiB
2025-12-10 01:38:53;nrf;16.64%;15.38MiB / 15.61GiB
2025-12-10 01:38:53;mongodb;1.60%;166.6MiB / 15.61GiB
2025-12-10 01:38:53;upf;94.96%;1.094GiB / 15.61GiB
2025-12-10 01:39:00;ue;0.08%;988KiB / 15.61GiB
2025-12-10 01:39:00;n3iwue;0.00%;384KiB / 15.61GiB
2025-12-10 01:39:00;ueransim;41.00%;10.45MiB / 15.61GiB
2025-12-10 01:39:00;n3iwf;0.00%;15MiB / 15.61GiB
2025-12-10 01:39:00;chf;112.05%;26.3MiB / 15.61GiB
2025-12-10 01:39:00;udr;0.00%;11.98MiB / 15.61GiB
2025-12-10 01:39:00;udm;0.00%;13.01MiB / 15.61GiB
2025-12-10 01:39:00;nssf;0.00%;8.172MiB / 15.61GiB
2025-12-10 01:39:00;smf;48.44%;2.192GiB / 15.61GiB
2025-12-10 01:39:00;webui;4.23%;20.49MiB / 15.61GiB
2025-12-10 01:39:00;amf;0.05%;15.5MiB / 15.61GiB
2025-12-10 01:39:00;ausf;0.00%;16.29MiB / 15.61GiB
2025-12-10 01:39:00;pcf;0.19%;12.05MiB / 15.61GiB
2025-12-10 01:39:00;nef;0.25%;7.613MiB / 15.61GiB
2025-12-10 01:39:00;nrf;13.28%;15.09MiB / 15.61GiB
2025-12-10 01:39:00;mongodb;1.50%;166.6MiB / 15.61GiB
2025-12-10 01:39:00;upf;94.44%;1.287GiB / 15.61GiB
2025-12-10 01:39:07;ue;0.09%;988KiB / 15.61GiB
2025-12-10 01:39:07;n3iwue;0.00%;384KiB / 15.61GiB
2025-12-10 01:39:07;ueransim;37.62%;10.57MiB / 15.61GiB
2025-12-10 01:39:07;n3iwf;0.00%;15MiB / 15.61GiB
2025-12-10 01:39:07;chf;112.60%;30.1MiB / 15.61GiB
2025-12-10 01:39:07;udr;0.00%;11.98MiB / 15.61GiB
2025-12-10 01:39:07;udm;0.00%;13.01MiB / 15.61GiB
2025-12-10 01:39:07;nssf;0.00%;8.172MiB / 15.61GiB
2025-12-10 01:39:07;smf;46.41%;2.476GiB / 15.61GiB
2025-12-10 01:39:07;webui;3.59%;20.49MiB / 15.61GiB
2025-12-10 01:39:07;amf;0.54%;15.5MiB / 15.61GiB
2025-12-10 01:39:07;ausf;0.00%;16.29MiB / 15.61GiB
2025-12-10 01:39:07;pcf;0.00%;12.05MiB / 15.61GiB
2025-12-10 01:39:07;nef;0.00%;7.613MiB / 15.61GiB
2025-12-10 01:39:07;nrf;13.88%;14.35MiB / 15.61GiB
2025-12-10 01:39:07;mongodb;1.38%;166.6MiB / 15.61GiB
2025-12-10 01:39:07;upf;90.27%;1.557GiB / 15.61GiB
2025-12-10 01:39:14;ue;0.09%;988KiB / 15.61GiB
2025-12-10 01:39:14;n3iwue;0.00%;384KiB / 15.61GiB
2025-12-10 01:39:14;ueransim;34.50%;10.74MiB / 15.61GiB
2025-12-10 01:39:14;n3iwf;0.00%;15MiB / 15.61GiB
2025-12-10 01:39:14;chf;97.76%;27.18MiB / 15.61GiB
2025-12-10 01:39:14;udr;0.00%;11.98MiB / 15.61GiB
2025-12-10 01:39:14;udm;0.00%;13.01MiB / 15.61GiB
2025-12-10 01:39:14;nssf;0.00%;8.293MiB / 15.61GiB
2025-12-10 01:39:14;smf;37.44%;2.779GiB / 15.61GiB
2025-12-10 01:39:14;webui;3.90%;20.5MiB / 15.61GiB
2025-12-10 01:39:14;amf;0.05%;15.49MiB / 15.61GiB
2025-12-10 01:39:14;ausf;0.87%;16.84MiB / 15.61GiB
2025-12-10 01:39:14;pcf;0.00%;12.05MiB / 15.61GiB
2025-12-10 01:39:14;nef;0.00%;7.613MiB / 15.61GiB
2025-12-10 01:39:14;nrf;14.61%;15.05MiB / 15.61GiB
2025-12-10 01:39:14;mongodb;1.64%;166.6MiB / 15.61GiB
2025-12-10 01:39:14;upf;223.02%;1.961GiB / 15.61GiB
2025-12-10 01:39:21;ue;0.08%;988KiB / 15.61GiB
2025-12-10 01:39:21;n3iwue;0.00%;384KiB / 15.61GiB
2025-12-10 01:39:21;ueransim;0.44%;8.254MiB / 15.61GiB
2025-12-10 01:39:21;n3iwf;0.00%;15MiB / 15.61GiB
2025-12-10 01:39:21;chf;93.76%;26.79MiB / 15.61GiB
2025-12-10 01:39:21;udr;0.10%;11.98MiB / 15.61GiB
2025-12-10 01:39:21;udm;0.00%;13.01MiB / 15.61GiB
2025-12-10 01:39:21;nssf;0.00%;8.293MiB / 15.61GiB
2025-12-10 01:39:21;smf;366.19%;3.991GiB / 15.61GiB
2025-12-10 01:39:21;webui;4.13%;20.52MiB / 15.61GiB
2025-12-10 01:39:21;amf;0.47%;15.74MiB / 15.61GiB
2025-12-10 01:39:21;ausf;0.00%;16.84MiB / 15.61GiB
2025-12-10 01:39:21;pcf;0.00%;12.05MiB / 15.61GiB
2025-12-10 01:39:21;nef;0.00%;7.613MiB / 15.61GiB
2025-12-10 01:39:21;nrf;14.61%;15.09MiB / 15.61GiB
2025-12-10 01:39:21;mongodb;1.60%;166.6MiB / 15.61GiB
2025-12-10 01:39:21;upf;135.29%;1.986GiB / 15.61GiB
2025-12-10 01:43:31;ue;0.09%;976KiB / 15.61GiB
2025-12-10 01:43:31;n3iwue;0.00%;392KiB / 15.61GiB
2025-12-10 01:43:31;ueransim;2.54%;7.129MiB / 15.61GiB
2025-12-10 01:43:31;n3iwf;0.00%;14.61MiB / 15.61GiB
2025-12-10 01:43:31;chf;0.38%;13.46MiB / 15.61GiB
2025-12-10 01:43:31;amf;3.73%;15.11MiB / 15.61GiB
2025-12-10 01:43:31;smf;5.67%;13.6MiB / 15.61GiB
2025-12-10 01:43:31;udm;2.19%;12.27MiB / 15.61GiB
2025-12-10 01:43:31;nssf;0.29%;8.109MiB / 15.61GiB
2025-12-10 01:43:31;ausf;0.30%;15.59MiB / 15.61GiB
2025-12-10 01:43:31;webui;0.37%;14.3MiB / 15.61GiB
2025-12-10 01:43:31;udr;1.65%;11.63MiB / 15.61GiB
2025-12-10 01:43:31;pcf;2.47%;11.58MiB / 15.61GiB
2025-12-10 01:43:31;nef;0.00%;7.309MiB / 15.61GiB
2025-12-10 01:43:31;nrf;19.18%;17.48MiB / 15.61GiB
2025-12-10 01:43:31;mongodb;1.82%;166MiB / 15.61GiB
2025-12-10 01:43:31;upf;2.20%;8.309MiB / 15.61GiB
2025-12-10 01:43:38;ue;0.14%;976KiB / 15.61GiB
2025-12-10 01:43:38;n3iwue;0.00%;392KiB / 15.61GiB
2025-12-10 01:43:38;ueransim;0.47%;7.422MiB / 15.61GiB
2025-12-10 01:43:38;n3iwf;0.00%;14.61MiB / 15.61GiB
2025-12-10 01:43:38;chf;0.00%;13.52MiB / 15.61GiB
2025-12-10 01:43:38;amf;0.05%;16.06MiB / 15.61GiB
2025-12-10 01:43:38;smf;0.01%;14.54MiB / 15.61GiB
2025-12-10 01:43:38;udm;0.00%;12.36MiB / 15.61GiB
2025-12-10 01:43:38;nssf;0.00%;8.164MiB / 15.61GiB
2025-12-10 01:43:38;ausf;0.00%;16.03MiB / 15.61GiB
2025-12-10 01:43:38;webui;0.37%;14.57MiB / 15.61GiB
2025-12-10 01:43:38;udr;0.00%;12.08MiB / 15.61GiB
2025-12-10 01:43:38;pcf;0.00%;12.03MiB / 15.61GiB
2025-12-10 01:43:38;nef;0.00%;7.309MiB / 15.61GiB
2025-12-10 01:43:38;nrf;1.21%;12.61MiB / 15.61GiB
2025-12-10 01:43:38;mongodb;0.31%;166.1MiB / 15.61GiB
2025-12-10 01:43:38;upf;0.00%;8.684MiB / 15.61GiB
2025-12-10 01:43:45;ue;0.07%;976KiB / 15.61GiB
2025-12-10 01:43:45;n3iwue;0.00%;392KiB / 15.61GiB
2025-12-10 01:43:45;ueransim;190.55%;14.02MiB / 15.61GiB
2025-12-10 01:43:45;n3iwf;0.00%;14.61MiB / 15.61GiB
2025-12-10 01:43:45;chf;0.01%;13.87MiB / 15.61GiB
2025-12-10 01:43:45;amf;0.10%;17.04MiB / 15.61GiB
2025-12-10 01:43:45;smf;34.57%;259.1MiB / 15.61GiB
2025-12-10 01:43:45;udm;0.00%;12.36MiB / 15.61GiB
2025-12-10 01:43:45;nssf;0.00%;8.164MiB / 15.61GiB
2025-12-10 01:43:45;ausf;0.00%;16.03MiB / 15.61GiB
2025-12-10 01:43:45;webui;0.30%;15.73MiB / 15.61GiB
2025-12-10 01:43:45;udr;0.00%;12.08MiB / 15.61GiB
2025-12-10 01:43:45;pcf;0.00%;12.04MiB / 15.61GiB
2025-12-10 01:43:45;nef;0.00%;7.309MiB / 15.61GiB
2025-12-10 01:43:45;nrf;1.17%;12.71MiB / 15.61GiB
2025-12-10 01:43:45;mongodb;0.99%;166.1MiB / 15.61GiB
2025-12-10 01:43:45;upf;95.86%;167.9MiB / 15.61GiB
2025-12-10 01:43:52;ue;0.06%;976KiB / 15.61GiB
2025-12-10 01:43:52;n3iwue;0.00%;392KiB / 15.61GiB
2025-12-10 01:43:52;ueransim;198.85%;14.98MiB / 15.61GiB
2025-12-10 01:43:52;n3iwf;0.00%;14.61MiB / 15.61GiB
2025-12-10 01:43:52;chf;0.02%;14.02MiB / 15.61GiB
2025-12-10 01:43:52;amf;0.05%;15.36MiB / 15.61GiB
2025-12-10 01:43:52;smf;102.25%;589.2MiB / 15.61GiB
2025-12-10 01:43:52;udm;0.00%;12.36MiB / 15.61GiB
2025-12-10 01:43:52;nssf;0.00%;8.164MiB / 15.61GiB
2025-12-10 01:43:52;ausf;0.00%;16.03MiB / 15.61GiB
2025-12-10 01:43:52;webui;0.43%;15.99MiB / 15.61GiB
2025-12-10 01:43:52;udr;0.00%;12.07MiB / 15.61GiB
2025-12-10 01:43:52;pcf;0.00%;12.04MiB / 15.61GiB
2025-12-10 01:43:52;nef;0.00%;7.309MiB / 15.61GiB
2025-12-10 01:43:52;nrf;1.62%;12.91MiB / 15.61GiB
2025-12-10 01:43:52;mongodb;0.68%;166.1MiB / 15.61GiB
2025-12-10 01:43:52;upf;120.00%;363.1MiB / 15.61GiB
2025-12-10 01:44:00;ue;0.09%;976KiB / 15.61GiB
2025-12-10 01:44:00;n3iwue;0.00%;392KiB / 15.61GiB
2025-12-10 01:44:00;ueransim;203.40%;16.55MiB / 15.61GiB
