Timestamp;ContainerName;CPU_Percent;Memory_Usage_and_Limit
2025-12-01 02:06:58;nssf;0.00%;7.871MiB / 15.61GiB
2025-12-01 02:06:58;udm;0.00%;10.1MiB / 15.61GiB
2025-12-01 02:06:58;pcf;0.00%;10.43MiB / 15.61GiB
2025-12-01 02:06:58;ausf;0.00%;15.28MiB / 15.61GiB
2025-12-01 02:06:58;udr;0.00%;10.2MiB / 15.61GiB
2025-12-01 02:06:58;webui;6.95%;32.51MiB / 15.61GiB
2025-12-01 02:06:58;nef;0.00%;7.941MiB / 15.61GiB
2025-12-01 02:06:58;nrf;29.73%;16.49MiB / 15.61GiB
2025-12-01 02:06:58;upf;79.54%;707.1MiB / 15.61GiB
2025-12-01 02:06:58;mongodb;1.95%;183.2MiB / 15.61GiB
2025-12-01 02:07:05;amf;0.05%;13.77MiB / 15.61GiB
2025-12-01 02:07:05;chf;86.67%;27.91MiB / 15.61GiB
2025-12-01 02:07:05;ue;0.07%;1020KiB / 15.61GiB
2025-12-01 02:07:05;n3iwue;0.00%;4.027MiB / 15.61GiB
2025-12-01 02:07:05;ueransim;108.74%;9.555MiB / 15.61GiB
2025-12-01 02:07:05;n3iwf;0.00%;14.51MiB / 15.61GiB
2025-12-01 02:07:05;smf;172.29%;1.459GiB / 15.61GiB
2025-12-01 02:07:05;nssf;0.00%;7.871MiB / 15.61GiB
2025-12-01 02:07:05;udm;0.00%;10.1MiB / 15.61GiB
2025-12-01 02:07:05;pcf;0.00%;10.44MiB / 15.61GiB
2025-12-01 02:07:05;ausf;0.00%;15.28MiB / 15.61GiB
2025-12-01 02:07:05;udr;0.00%;10.2MiB / 15.61GiB
2025-12-01 02:07:05;webui;3.81%;34.12MiB / 15.61GiB
2025-12-01 02:07:05;nef;0.00%;7.941MiB / 15.61GiB
2025-12-01 02:07:05;nrf;19.57%;16.32MiB / 15.61GiB
2025-12-01 02:07:05;upf;84.59%;897.3MiB / 15.61GiB
2025-12-01 02:07:05;mongodb;2.01%;183.2MiB / 15.61GiB
2025-12-01 02:07:12;amf;0.05%;13.78MiB / 15.61GiB
2025-12-01 02:07:12;chf;104.87%;30.91MiB / 15.61GiB
2025-12-01 02:07:12;ue;0.11%;1020KiB / 15.61GiB
2025-12-01 02:07:12;n3iwue;0.00%;4.027MiB / 15.61GiB
2025-12-01 02:07:12;ueransim;107.57%;9.527MiB / 15.61GiB
2025-12-01 02:07:12;n3iwf;0.00%;14.51MiB / 15.61GiB
2025-12-01 02:07:12;smf;45.95%;1.708GiB / 15.61GiB
2025-12-01 02:07:12;nssf;0.00%;7.871MiB / 15.61GiB
2025-12-01 02:07:12;udm;0.00%;10.1MiB / 15.61GiB
2025-12-01 02:07:12;pcf;0.00%;10.44MiB / 15.61GiB
2025-12-01 02:07:12;ausf;0.00%;15.28MiB / 15.61GiB
2025-12-01 02:07:12;udr;0.10%;10.2MiB / 15.61GiB
2025-12-01 02:07:12;webui;4.31%;36.82MiB / 15.61GiB
2025-12-01 02:07:12;nef;0.00%;7.941MiB / 15.61GiB
2025-12-01 02:07:12;nrf;19.05%;15.35MiB / 15.61GiB
2025-12-01 02:07:12;upf;85.96%;1.104GiB / 15.61GiB
2025-12-01 02:07:12;mongodb;2.08%;183.2MiB / 15.61GiB
2025-12-01 02:07:19;amf;0.17%;13.78MiB / 15.61GiB
2025-12-01 02:07:19;chf;103.44%;27.04MiB / 15.61GiB
2025-12-01 02:07:19;ue;0.09%;1020KiB / 15.61GiB
2025-12-01 02:07:19;n3iwue;0.00%;4.027MiB / 15.61GiB
2025-12-01 02:07:19;ueransim;105.74%;9.855MiB / 15.61GiB
2025-12-01 02:07:19;n3iwf;0.00%;14.51MiB / 15.61GiB
2025-12-01 02:07:19;smf;42.90%;2.194GiB / 15.61GiB
2025-12-01 02:07:19;nssf;0.00%;7.871MiB / 15.61GiB
2025-12-01 02:07:19;udm;0.00%;10.1MiB / 15.61GiB
2025-12-01 02:07:19;pcf;0.00%;10.43MiB / 15.61GiB
2025-12-01 02:07:19;ausf;0.00%;15.28MiB / 15.61GiB
2025-12-01 02:07:19;udr;0.00%;10.2MiB / 15.61GiB
2025-12-01 02:07:19;webui;3.83%;38.16MiB / 15.61GiB
2025-12-01 02:07:19;nef;0.00%;7.941MiB / 15.61GiB
2025-12-01 02:07:19;nrf;15.39%;14.54MiB / 15.61GiB
2025-12-01 02:07:19;upf;83.13%;1.4GiB / 15.61GiB
2025-12-01 02:07:19;mongodb;1.68%;183.2MiB / 15.61GiB
2025-12-01 02:07:26;amf;0.11%;13.78MiB / 15.61GiB
2025-12-01 02:07:26;chf;100.46%;29.3MiB / 15.61GiB
2025-12-01 02:07:26;ue;0.09%;1020KiB / 15.61GiB
2025-12-01 02:07:26;n3iwue;0.00%;4.027MiB / 15.61GiB
2025-12-01 02:07:26;ueransim;101.70%;9.832MiB / 15.61GiB
2025-12-01 02:07:26;n3iwf;0.00%;14.51MiB / 15.61GiB
2025-12-01 02:07:26;smf;45.95%;2.456GiB / 15.61GiB
2025-12-01 02:07:26;nssf;0.00%;7.871MiB / 15.61GiB
2025-12-01 02:07:26;udm;0.00%;10.1MiB / 15.61GiB
2025-12-01 02:07:26;pcf;0.00%;10.43MiB / 15.61GiB
2025-12-01 02:07:26;ausf;0.00%;15.28MiB / 15.61GiB
2025-12-01 02:07:26;udr;0.00%;10.2MiB / 15.61GiB
2025-12-01 02:07:26;webui;3.42%;38.73MiB / 15.61GiB
2025-12-01 02:07:26;nef;0.00%;7.941MiB / 15.61GiB
2025-12-01 02:07:26;nrf;13.22%;14.98MiB / 15.61GiB
2025-12-01 02:07:26;upf;84.77%;1.612GiB / 15.61GiB
2025-12-01 02:07:26;mongodb;1.76%;183.2MiB / 15.61GiB
2025-12-01 02:07:33;amf;0.05%;13.78MiB / 15.61GiB
2025-12-01 02:07:33;chf;99.69%;28.45MiB / 15.61GiB
2025-12-01 02:07:33;ue;0.08%;1020KiB / 15.61GiB
2025-12-01 02:07:33;n3iwue;0.00%;4.027MiB / 15.61GiB
2025-12-01 02:07:33;ueransim;101.95%;9.711MiB / 15.61GiB
2025-12-01 02:07:33;n3iwf;0.00%;14.51MiB / 15.61GiB
